mbid,artist_lastfm,country_lastfm,listeners_lastfm,scrobbles_lastfm
db859a53-b7ca-4892-bcda-5ef78d2c891f,Vader,Poland,271318,17420887
3b829056-d975-4ae7-be3c-20661ce980e8,Vicente Fernández,Mexico,151404,1914785
f43dd62f-4fc7-4216-9220-be555f16d131,Westside Connection,,405642,2478742
0b835a4b-bc7d-4348-8f83-000c48bc0a5e,White Wizzard,United States,18063,416248
075ded80-c694-4157-9a97-4d42ca8b9e8e,Yawning Man,,70088,1055847
582c15e8-0f6b-4462-9796-85bae34173b8,120 Days,Norway,43154,544853
3038ea0d-1cad-458c-a08b-b11276b27619,504 Boyz,,37805,156027
47b06d12-32f0-4ef3-b2ce-7eab942eab8c,Acker Bilk,United Kingdom; United States,76490,550487
adad8eda-6cc7-4f19-8816-0ea135965771,Agression,United States,17200,176646
57cb4257-9855-4a42-b1be-bfba1d9b520d,Andy Williams,United States,756473,5999545
f43370e3-6d86-44e7-ae4c-ca098962dcd0,Arthur Russell,United States,191278,5105818
5cb35548-f9a7-465a-bdfd-f484af1be5c8,Artists For Haiti,Haiti,18730,157177
5bcfa743-82fd-47f9-92c4-f604d779a269,Art Paul Schlosser,United States,719,3175
0efa1646-360b-45b8-bd00-29ae7c0ffc34,Arve Henriksen,Norway,55641,1063279
47a6e5de-2e5e-4be4-b13e-3e362781ba14,Bedlam Bards,,3935,55723
d73596bb-a8f8-4aae-a323-d881f5245149,Black Box,Italy,217362,1150745
815a0279-558c-4522-ac3b-6a1e259e95b5,Canned Heat,United States,642151,5646731
70f0e309-5418-49b6-a130-666e2f76eecd,Carrie Underwood,United States,1019092,20021495
900e9144-019d-4043-86cb-ec0e127c39d0,Chaka Khan,United States,601860,4409017
920febb2-ea05-4339-8a08-17294e60c736,Chubby Checker,United States,361126,1952883
393e3b99-a8dc-497c-81e7-f41f4fb49244,Corbin Bleu,Chad; United States,75361,436194
5c57506f-9967-4503-9dc0-0b9254b6697b,Country Joe & The Fish,United States,167797,1250722
2bfb90ae-8812-45eb-9c5b-dca52701b163,Darkbuster,Ireland; United States,18955,366393
24c0aaf3-4ac2-4f9a-9ce6-a1545a96f017,Dennis Brown,Jamaica,344540,2783324
236459d6-f9ea-4f89-9239-21c0bedaaf25,Dion & The Belmonts,United States,224704,1716604
2560cc99-f6d3-42fa-86f5-4d64eca5039f,Donna Allen,United States,17345,69104
9bccad26-1007-4ca8-b3c6-7aa7c703f0ed,Dre Murray,,1709,21300
6a55061b-9742-4059-94b1-a5ea1bd42dce,Ed Ames,,16957,69365
4f8ef4a3-40fa-46b5-8773-97686a8424f4,Édith Piaf,France,698747,13653082
63f4a78d-009d-4579-98f6-810d15f18397,Fairground Attraction,Scotland; United Kingdom,113323,717557
a7921b29-671a-4378-8a61-539cf73d7588,Floyd Cramer,,63203,442751
a2fc968a-6155-47c6-b732-6045c455c457,Floyd Jones,,4462,15363
c0a138e2-cef7-471b-8fbb-524e1076256a,Four Year Strong,United States,478349,18962693
639a9766-297d-4053-821b-91abb3e4d275,Frankie Ballard,,55214,504544
8e3fcd7d-bda1-4ca0-b987-b8528d2ee74e,Genesis,United Kingdom,1310251,37346915
084308bd-1654-436f-ba03-df6697104e19,Green Day,United States,3738772,188558689
49c48b7f-1ff1-4f02-a1aa-ca1254b46ef2,Harry Belafonte,Jamaica; United States,437196,3248468
dc428275-89fb-41ce-97a8-0949337afb79,Heartsfield,,765,5745
328d146c-79f1-4eb6-9e40-8ee5710c14e5,Imogen Heap,United Kingdom,1419377,36973937
4ff4f860-ed80-4609-ab48-3a74490db127,Jami Sieber,Iceland; United Kingdom; United States,43201,655188
290ab80e-8be6-4b3d-80ef-7d2ef876735f,Jerry Landis,,596,3276
e7495426-6e14-4429-b647-dbe700ad57d4,Joanie Sommers,United States,15362,98044
24f1766e-9635-4d58-a4d4-9413f9f98a4c,Johann Sebastian Bach,Germany,1528786,50370162
52bb713d-b0c9-4bf6-9f58-392388d5cc11,John Powell,United Kingdom,318440,8313782
ce3bc975-a76f-415b-a6cd-1e568c5714dd,Jungle Brothers,United States,184174,1221826
c11436cc-6d16-4b61-86d8-1465651fcd27,Knowa Knowone,,8260,38812
87982d06-55e1-456c-a11e-9911cc320f45,Larry Graham,United States,20886,82842
34a64435-d0ac-46cb-8fe0-a0e624dd9c1a,Little Johnny Taylor,United States,9361,34157
e9d0b534-f1ed-4260-8e95-2b3b191d14c4,Lorne Greene,Canada,8354,41765
6b350b4b-7b4f-407c-b275-6da6d4d5b20f,Los Jockers,Chile,875,3749
98fe243c-3685-4491-8135-edc713963be4,Los Lonely Boys,Japan; Spain; United States,147958,1153837
27e42fd5-8110-4260-8f3c-9476a4f0403b,Lou Harrison,United States,17065,164971
500053c3-d673-4768-94d0-9e02aea5d0bf,Luis Bacalov,Argentina; Italy; United States,333942,2137379
2da9b8e3-e2de-4599-aa30-bf47e35e3fc0,Madcon,Norway,540164,5182273
3f658e7f-4f44-4493-942c-ede5033bc6f7,Mal Waldron,United States,29260,235913
723644fe-d2b7-4b9c-a8e8-9ed7d5cdb476,Mark Farina,Poland; United States,125645,1476455
6781af9a-175c-4b27-917d-da89060aa15d,Marta Sánchez,Spain,55851,504813
eff39ac9-2a33-453a-8e7a-ee4799408557,MGM Studio Orchestra,United States,13121,86973
72b3b981-92b7-4b5c-8a83-35717358b76e,Miami Sound Machine,Spain; United States,147594,605431
594692d0-95ce-480b-8007-32be8767cbf4,Mike Clifford,,1504,8645
8a667f87-540c-4635-87bb-a9151693935f,Mike Post,United States,19626,103085
8a5c294f-8d3b-452d-a6f9-6332cfb408f3,Nektar,Germany; United Kingdom,82141,933683
a1ef6bc8-2644-4b6d-aa21-27b630acf751,Nils Lofgren,Sweden; United States,117162,1037941
07a38f08-0a97-4f5e-b201-3a325d09d27b,Nordre Sving,Norway,1140,8336
abf76e96-80b7-450f-9bc1-ac79dcb3b553,Opera IX,Italy,31709,566499
ac550643-5f8a-4d0d-a3e0-d5969b9b641c,Peter Skellern,United Kingdom,15038,78610
9add4bb4-0d36-43f8-a0ff-6daf2b4dffa2,Peter Thomas,Germany,31830,193308
